user_id;country;sex;height;weight;age;years_cl;grades_count;grades_first;grades_last;grades_max;grades_mean;year_first;year_last
1;SWE;0;177;73;41;21;84;36;55;62;46.75;1999;2001
3;SWE;0;180;78;44;22;12;53;51;59;52.83333333;1999;2000
4;SWE;1;165;58;33;16;119;53;49;64;53.8907563;2004;2009
10;SWE;0;167;63;52;25;298;53;49;63;49.40604027;2000;2017
16;NOR;0;177;68;44;21;5;53;49;53;51.4;1998;2010
17;SWE;0;193;78;42;17;4;36;36;36;34.5;2001;2002
19;BEL;0;180;68;36;21;32;49;46;49;37.25;2000;2002
28;CAN;0;180;68;45;29;86;53;46;64;50.39534884;2000;2017
34;other;0;180;68;21;24;11;51;46;53;48.36363636;2000;2001
38;GBR;0;178;73;35;24;323;55;55;71;57.73684211;2000;2017
39;NLD;0;178;78;45;21;8;53;42;53;47.75;2000;2000
47;SWE;0;188;83;42;17;5;29;29;44;33.4;2001;2001
48;SWE;0;178;73;39;17;6;38;44;44;41;2000;2001
51;SWE;0;181;68;36;20;233;40;44;62;45.06437768;2000;2008
52;SWE;0;182;68;35;21;67;59;57;62;56.1641791;1999;2003
54;SWE;0;183;73;40;18;26;51;62;62;49.42307692;2000;2006
69;USA;0;183;73;47;23;36;55;51;62;53.52777778;2000;2002
79;DEU;0;188;83;43;26;375;62;53;66;56.61066667;1999;2017
80;NOR;0;183;73;41;22;44;59;44;59;47.06818182;2000;2002
86;SWE;0;186;83;45;27;23;44;49;53;45.95652174;2000;2007
89;ITA;0;172;63;46;28;79;57;53;66;54.91139241;2001;2016
98;FRA;0;183;78;42;24;8;38;53;53;45.375;2000;1999
111;SWE;0;187;78;44;20;8;36;36;38;35.375;2000;1998
118;USA;0;178;63;36;20;231;72;77;77;66.45454545;2000;2015
121;POL;0;168;68;48;24;4;55;49;55;50.75;2000;2002
129;SWE;0;180;73;40;17;192;51;46;62;51.88541667;2001;2011
137;NOR;0;184;78;42;17;24;53;53;59;53.33333333;2000;2002
148;ZAF;0;194;78;48;24;27;46;38;55;42.7037037;2001;2003
151;FRA;0;180;73;48;27;329;53;62;70;58.65957447;2000;2017
155;GBR;0;179;68;42;23;68;59;66;66;57.67647059;1999;2002
158;SWE;0;187;73;39;22;2;62;62;62;62;2000;2000
164;POL;0;173;73;45;26;1155;49;56;66;53.21385281;2000;2016
165;PRT;0;172;58;42;17;78;38;51;51;39.15384615;2003;2006
166;other;0;165;63;42;19;40;46;38;62;49.325;2008;2017
178;NOR;0;170;68;47;27;203;59;62;68;58.24630542;1999;2015
190;NOR;0;177;78;35;20;82;62;49;66;55.19512195;2001;2008
206;SWE;0;195;83;46;25;25;53;46;55;47.48;2001;2007
207;other;0;165;63;39;21;61;57;57;64;60.42622951;2001;2009
212;AUS;0;185;68;44;29;92;59;62;68;60.05434783;2000;2007
213;DEU;0;193;83;37;23;46;59;57;66;57.30434783;2000;2005
215;USA;0;174;73;32;22;10;57;57;64;57.2;2000;2002
218;SWE;0;178;68;44;20;90;40;46;55;45.91111111;2001;2010
